"black","educ","exper","faminc","female","metro","midwest","south","wage","west"
0,13,45,0,1,1,0,0,44.44,1
0,14,25,45351,1,1,1,0,16,0
0,18,27,91946,1,1,0,0,15.38,0
0,13,42,48370,0,1,1,0,13.54,0
0,13,41,10000,1,1,0,0,25,1
0,16,26,151308,1,1,0,0,24.05,0
0,16,11,110461,1,1,0,1,40.95,0
0,18,15,0,1,1,1,0,26.45,0
0,21,32,67084,0,1,1,0,30.76,0
0,14,12,14000,0,0,0,0,34.57,1
0,18,8,0,1,1,0,1,20.67,0
0,12,40,25000,0,1,0,0,21.5,0
0,12,43,0,0,1,1,0,11.77,0
0,12,23,0,1,1,1,0,24.35,0
0,16,19,50808,0,1,0,1,55,0
0,16,33,63169,0,1,0,0,11,1
0,16,20,162,0,1,1,0,57.7,0
0,16,30,134370,0,1,0,1,58,0
0,20,0,0,1,1,0,0,5.75,0
0,14,5,77280,1,1,0,1,11.5,0
0,12,37,80337,1,1,0,0,33.65,0
0,12,32,23472,1,1,1,0,10.5,0
0,14,5,18200,1,1,0,0,14.5,1
0,12,5,86400,1,1,0,0,8.25,1
0,12,20,0,1,1,1,0,8.65,0
0,12,7,0,0,1,0,0,13,1
0,8,41,0,0,0,1,0,17,0
0,12,32,30669,1,0,1,0,16.33,0
0,12,24,0,1,1,0,1,7.2,0
0,14,20,0,0,1,0,1,10,0
0,18,36,49400,1,0,0,1,60.83,0
1,16,7,20400,0,1,0,1,17.8,0
0,12,40,50000,0,1,0,1,30.38,0
0,18,29,2395,1,1,0,0,12.5,1
0,18,3,0,1,1,0,0,49.5,0
0,18,13,0,1,1,1,0,23.08,0
1,14,28,0,1,1,0,0,28.95,1
0,13,10,17544,0,1,0,0,9.2,1
0,12,42,0,0,1,0,0,29,0
0,12,37,50169,1,1,0,0,15,0
0,12,49,9000,0,1,0,0,14.7,1
0,16,20,10000,1,1,1,0,23.66,0
0,12,46,45993,1,0,1,0,8,0
0,12,43,83258,0,0,1,0,13.66,0
0,12,47,24019,1,1,0,0,15,1
0,12,47,51475,1,1,0,0,10.5,0
0,12,26,19906,0,0,0,0,7.75,1
1,13,21,9904,1,1,0,1,11.64,0
0,13,33,95000,0,1,1,0,37.03,0
0,13,6,40002,0,0,0,0,9.15,0
0,12,36,0,0,1,0,0,17,1
0,12,39,0,0,0,0,1,15.42,0
0,12,25,15100,0,1,1,0,43.28,0
0,16,22,530,1,1,0,0,19.23,0
0,13,34,5000,1,1,0,1,16,0
0,16,16,25000,0,1,0,0,31.92,0
0,16,4,30000,1,1,0,0,30,1
0,12,13,3090,0,1,0,0,9.5,1
0,20,35,0,0,1,0,1,17.3,0
0,16,12,33162,1,1,0,1,17.92,0
0,14,10,0,1,1,1,0,12.5,0
0,16,20,58540,0,1,0,1,16,0
0,12,26,5000,1,1,0,0,13.71,1
0,14,17,0,1,1,0,0,18.12,0
1,12,25,20000,0,1,0,1,26,0
0,16,26,0,1,1,0,0,19.3,0
0,12,10,34000,0,1,0,1,10,0
0,21,13,0,0,1,1,0,38.08,0
0,16,4,115500,1,1,0,0,12,1
0,18,14,66000,1,1,0,0,42.16,1
0,18,6,0,0,1,0,0,28.4,0
0,13,11,0,0,1,0,0,9.75,0
0,16,46,50500,0,1,0,0,36.06,1
0,12,7,7700,0,1,0,0,18.75,1
0,13,8,30000,0,1,0,1,10.5,0
0,21,25,96056,0,1,0,0,33.65,1
1,12,47,10799,0,1,0,0,17,1
0,14,5,20000,0,1,0,1,24.47,0
0,18,49,9599,0,1,0,0,9.8,1
0,12,20,0,0,1,1,0,22.72,0
1,12,29,32000,1,0,0,1,11.88,0
0,12,10,0,0,1,0,1,11,0
0,10,52,30000,1,0,0,0,8.76,0
0,12,22,30003,0,1,1,0,24.02,0
0,18,25,117240,1,0,1,0,14.73,0
0,16,5,0,0,1,0,0,13.33,1
0,16,30,112075,1,1,0,0,41.83,0
0,16,0,117580,0,1,0,0,15.83,1
0,20,27,66600,0,1,0,1,42.73,0
0,12,23,30032,0,0,0,0,31.25,0
0,12,39,25000,0,0,0,1,17,0
0,12,8,0,0,0,0,0,15,0
0,18,19,0,1,1,0,1,25,0
0,18,11,90056,1,1,0,0,34.63,1
0,18,22,24700,0,1,0,0,9.5,1
0,11,25,104000,0,1,0,0,16.6,1
0,13,40,0,1,1,0,0,23,0
0,16,6,0,0,1,1,0,16.48,0
0,14,35,1815,0,1,0,0,48.08,0
0,12,39,33200,1,1,0,0,17.23,0
0,18,28,0,0,1,0,1,34.6,0
0,16,45,23886,1,1,1,0,27.68,0
0,16,41,42992,1,1,1,0,21,0
0,16,30,30000,0,1,0,0,16.83,1
0,12,24,14240,0,0,0,0,36.06,1
0,16,30,0,1,1,0,0,57.7,1
0,13,2,0,0,1,0,0,11.5,1
0,16,6,28962,1,1,1,0,8,0
0,13,35,24002,1,1,0,1,14,0
1,12,49,25002,1,1,0,0,21.63,0
0,16,10,60000,0,0,0,0,19.23,1
0,16,15,100081,0,1,0,1,19.44,0
0,8,26,13600,1,1,0,1,10.85,0
0,18,20,0,0,0,0,0,23.55,0
0,13,41,65112,0,1,1,0,30,0
0,18,14,0,1,1,0,0,40.47,0
1,12,19,0,1,1,1,0,11.77,0
0,16,22,68015,1,1,0,0,27.5,1
0,13,34,70000,0,1,0,0,22,1
0,16,4,0,1,1,0,0,9.48,1
0,16,22,96010,1,1,1,0,15.38,0
0,16,15,22679,1,1,0,0,17.3,1
0,14,7,42500,0,1,0,1,17.4,0
0,18,5,50500,0,1,1,0,21.63,0
0,18,21,38062,0,1,0,1,27.47,0
0,16,36,135088,0,1,0,0,18,1
0,12,19,20000,0,0,0,1,28.83,0
0,13,29,1220,0,1,0,0,20,1
0,12,0,21256,0,1,0,1,9,0
0,13,16,0,1,1,0,0,21,1
0,16,52,44549,0,1,1,0,64.09,0
1,13,4,0,1,1,0,0,14,1
0,12,27,31400,0,0,1,0,18,0
0,12,31,52002,1,0,0,0,11.35,0
0,16,1,0,1,1,1,0,6.17,0
0,21,21,60000,0,0,0,0,26.22,1
0,12,43,41748,0,0,0,1,18,0
0,16,35,112429,1,1,0,1,18.65,0
0,13,37,118570,1,1,1,0,45.01,0
0,13,5,20002,1,1,0,0,11,0
1,16,11,35000,1,1,0,1,44.51,0
0,13,8,30002,0,0,0,0,32,1
0,18,19,24600,0,1,1,0,43.28,0
0,13,29,71510,0,1,0,0,26.45,0
0,14,38,113000,0,1,0,1,36.05,0
0,16,17,40405,1,1,0,0,19.23,0
0,13,13,3300,0,0,0,0,7.64,1
0,9,36,23000,0,1,0,0,9.75,1
0,18,35,42940,1,1,1,0,80.77,0
0,16,31,130422,1,1,0,0,20,1
0,12,22,8000,1,1,0,0,7.5,1
0,12,29,71300,1,1,0,1,20,0
0,20,29,61685,1,1,0,0,64.9,0
0,12,53,5,0,1,0,0,17.3,1
0,12,36,0,0,1,0,1,10,0
0,16,5,41050,1,1,0,1,26.45,0
0,12,30,113113,1,1,0,1,18,0
1,18,40,0,1,1,0,1,24.3,0
0,13,35,0,0,1,0,0,28.5,0
0,16,34,100001,1,1,0,0,16.83,0
0,13,44,0,1,1,0,1,10,0
0,12,37,25000,1,1,0,0,23,0
0,13,30,106309,0,1,0,0,31.25,1
0,13,33,91820,1,0,1,0,19,0
0,5,46,0,0,1,1,0,8.25,0
0,13,30,13769,1,1,0,1,10,0
0,14,45,22920,1,1,0,1,10.67,0
0,11,43,22551,0,0,0,0,7.14,0
0,16,36,56117,0,1,0,0,40.88,0
1,12,21,0,1,1,0,1,22.1,0
0,20,12,2000,0,1,1,0,72.13,0
1,5,47,0,1,1,0,0,18.25,0
0,18,34,29711,1,1,0,0,53.08,1
0,14,3,40299,1,0,1,0,5.78,0
0,16,5,0,0,0,0,0,21.85,0
0,13,32,77170,1,1,0,1,28.85,0
0,12,46,0,0,0,1,0,28.85,0
0,18,1,0,1,1,0,1,13.5,0
0,12,35,122367,1,1,0,1,18.21,0
0,18,15,58342,1,1,0,0,47,0
0,12,41,45000,1,0,0,1,14,0
0,14,12,0,0,1,0,0,10.71,1
0,14,31,110420,0,1,0,1,14.7,0
0,16,20,30620,0,0,0,0,18.33,1
0,18,40,0,1,1,0,1,72.13,0
0,14,38,42000,1,1,0,0,15,0
0,11,13,0,0,0,0,0,6.25,1
0,10,13,25000,0,1,0,1,13.75,0
1,16,29,32446,0,1,0,1,38.45,0
0,12,14,0,0,0,0,0,19.75,0
0,13,24,0,1,0,1,0,10.5,0
0,13,46,7200,1,1,0,0,26.92,1
0,12,12,40000,1,1,0,1,10,0
0,21,33,64370,0,1,0,0,61.45,1
0,12,31,42929,1,0,1,0,17.28,0
1,13,8,65050,0,1,0,0,56.9,1
0,16,11,1100,0,1,0,0,20.17,0
0,16,4,0,1,1,0,0,37.03,1
0,12,26,0,0,1,0,1,34.96,0
0,12,39,26025,1,1,1,0,12,0
0,14,17,0,0,1,0,0,16,1
0,14,27,32000,0,1,0,0,18,0
0,18,14,112100,1,1,0,0,25,0
0,12,33,40705,1,0,0,0,7.35,0
0,16,7,0,0,1,0,0,51.76,1
0,12,27,66722,0,1,1,0,31.7,0
0,13,4,0,1,1,0,1,47.5,0
0,16,24,8002,0,1,1,0,32.7,0
0,18,19,0,0,1,0,1,19.64,0
0,13,3,0,1,0,0,1,15,0
0,18,24,0,0,1,1,0,28.26,0
1,12,13,0,0,0,0,1,15,0
0,13,25,60000,1,1,0,0,20,1
0,21,7,0,1,1,0,0,23.08,1
0,16,23,90852,0,1,0,1,43.28,0
0,13,3,6495,0,1,0,1,11,0
0,12,20,0,0,1,0,0,30,0
0,9,9,0,0,1,0,1,10,0
1,14,21,0,1,1,0,0,14,1
0,16,12,76000,0,1,0,1,21.36,0
0,13,7,0,0,0,1,0,19.87,0
0,16,28,6888,1,1,0,1,57.7,0
0,14,28,20952,0,1,0,0,15,0
0,12,42,25000,1,1,0,0,22.3,1
0,12,42,225253,0,1,0,1,29.8,0
0,12,12,0,1,0,1,0,12,0
0,13,14,60012,0,1,0,0,28.83,1
0,16,38,22200,1,1,1,0,9.13,0
0,12,39,46700,1,1,1,0,34.63,0
0,16,27,261823,1,1,0,0,20,0
0,13,28,57199,0,1,0,1,10,0
0,12,10,28060,0,1,1,0,21,0
0,12,17,87269,0,1,0,0,21.5,1
0,12,32,0,1,1,0,0,12.5,1
0,16,7,55050,0,1,0,0,25,1
1,16,11,0,1,1,1,0,17,0
0,14,19,30000,0,1,0,0,33.65,1
0,12,25,12084,0,1,0,0,16,0
0,13,14,35770,1,0,1,0,8,0
0,18,33,0,1,1,1,0,67.3,0
0,12,33,26385,0,0,1,0,20.8,0
0,16,24,53242,0,1,0,0,55.3,0
0,18,50,52563,1,1,0,0,71.15,1
0,16,6,0,0,1,0,0,25,1
0,18,12,150,0,1,0,1,40,0
0,13,16,38016,0,1,1,0,20.75,0
0,12,5,0,0,0,0,0,7.5,0
0,18,25,41600,0,1,0,0,18.75,0
0,12,22,67000,0,1,0,1,13.47,0
0,18,14,0,0,1,0,1,36.55,0
0,12,20,25750,0,1,0,0,12.4,1
0,12,32,0,0,1,0,0,25,0
0,13,13,33806,0,1,0,0,14.18,1
0,8,45,50810,0,1,0,0,12.5,1
0,14,36,15500,1,1,1,0,13.73,0
0,12,38,85169,1,1,0,0,17.3,1
0,12,33,49240,0,0,0,0,13.1,0
0,12,31,75280,1,1,0,0,17.76,0
0,14,20,0,0,1,1,0,17.3,0
0,12,3,28558,0,0,0,0,20,0
1,13,36,0,1,1,0,0,23.07,1
0,12,16,40005,0,1,1,0,23,0
0,12,34,71125,0,0,1,0,22.5,0
0,10,18,28323,1,1,0,0,8.25,1
0,12,38,0,1,1,0,1,20.02,0
0,16,34,0,0,1,0,1,32,0
1,12,5,0,1,1,0,0,14,1
0,18,8,54510,1,1,1,0,10.13,0
0,12,7,31500,1,1,0,0,11,1
0,16,45,0,0,1,0,1,24.71,0
0,12,32,0,1,0,0,1,12.5,0
0,16,30,104000,1,1,0,0,24.05,0
1,14,3,39600,1,1,0,0,5,0
0,12,24,29000,0,1,1,0,33,0
0,5,27,0,0,1,0,1,9,0
1,16,41,0,0,1,0,1,50.95,0
0,12,27,0,0,0,0,0,15.5,0
0,14,28,0,1,1,0,1,15.3,0
0,13,28,27008,0,1,1,0,50,0
0,14,22,64002,0,1,0,0,36.98,1
0,14,29,12488,1,1,0,0,14.9,0
1,12,30,58500,1,1,0,1,16,0
0,14,44,0,1,1,0,0,26.45,1
0,16,28,112017,0,1,0,1,47.58,0
0,12,28,0,0,1,1,0,17.3,0
0,12,27,84000,1,1,1,0,8.11,0
0,14,21,52119,1,1,1,0,36.05,0
0,13,50,62503,0,0,1,0,12,0
0,14,14,35000,1,1,0,1,18,0
0,13,47,25000,0,0,0,1,15,0
0,13,35,115047,1,1,1,0,17.96,0
0,16,12,31640,0,1,0,1,57.7,0
0,3,25,0,0,1,1,0,8.7,0
0,13,21,73012,0,1,0,0,24.05,0
0,16,15,130300,1,0,0,0,12,1
0,16,5,163843,1,1,0,0,65,0
1,5,24,7199,0,1,0,0,7.5,0
0,13,33,82000,0,1,0,1,24.02,0
0,18,7,70500,0,1,1,0,36.05,0
0,14,13,77000,1,1,0,1,13.67,0
1,18,40,68225,1,1,0,1,16.83,0
0,16,33,0,0,1,0,0,99,1
0,12,0,52899,0,1,0,0,8.5,0
0,16,27,26500,1,1,0,0,28,0
0,16,14,30800,1,0,0,1,25.1,0
0,18,27,65100,1,0,1,0,17.3,0
0,21,10,80000,0,1,0,1,40.88,0
0,16,0,0,1,1,0,0,17.3,0
0,12,31,40560,1,0,0,0,8.95,1
0,12,14,0,0,0,0,0,9.9,1
0,16,35,197850,1,1,0,1,27.96,0
1,13,32,0,1,1,1,0,12.98,0
0,18,31,0,1,0,0,1,28.85,0
0,16,27,165485,1,1,0,0,31.81,0
0,16,8,0,0,1,0,0,17.09,0
0,16,23,500,0,1,0,0,48.08,1
0,18,21,0,0,0,0,1,23.08,0
0,14,20,0,1,1,0,1,12,0
0,16,13,28000,1,1,0,1,20.65,0
0,13,13,1202,0,0,1,0,19.25,0
0,16,19,45,0,0,1,0,21.29,0
0,14,28,0,1,1,1,0,13,0
1,11,32,0,0,0,0,1,13,0
0,16,49,67542,0,0,1,0,11,0
0,16,40,4284,0,1,1,0,32.7,0
0,14,9,33000,0,1,0,0,18.63,1
0,16,12,56500,1,0,1,0,12.88,0
0,18,6,72217,1,1,1,0,21.63,0
0,12,28,0,0,0,0,1,21.92,0
0,13,31,0,0,1,0,0,10.57,1
0,12,14,12051,0,0,1,0,12,0
0,18,14,0,0,1,0,1,25.18,0
0,13,3,22734,0,1,1,0,11,0
0,12,17,0,0,1,0,0,10,1
0,16,11,20400,1,1,0,0,33.33,0
1,16,21,42200,0,1,0,1,15.38,0
0,14,24,115000,1,1,0,0,12,1
0,14,14,2300,0,1,0,1,40,0
1,12,6,0,1,1,0,1,9.5,0
0,16,27,120000,1,0,0,0,46.16,1
0,16,20,0,0,1,0,1,47.14,0
0,16,21,78195,1,1,1,0,23,0
0,16,37,0,0,1,0,0,26.6,1
0,13,31,0,1,1,0,0,8.69,1
0,12,40,9000,1,1,0,0,25.95,1
0,18,35,0,1,1,0,0,37.39,0
0,16,11,0,1,1,0,0,12,1
0,18,16,1308,0,1,0,1,37.02,0
1,13,14,0,1,1,0,1,10.5,0
0,18,19,0,1,1,0,1,20.12,0
0,18,24,61120,1,1,0,1,40,0
0,14,15,40002,0,1,0,1,41,0
0,16,30,181750,0,1,0,0,41.03,0
0,12,31,26000,1,1,0,0,15,1
0,18,43,24350,1,1,1,0,21.63,0
0,8,32,34000,0,1,0,0,10,0
0,14,13,0,1,1,1,0,32,0
0,3,59,153738,0,1,0,0,12.92,0
0,12,47,0,1,1,1,0,11.6,0
0,16,18,55015,0,0,0,1,10.5,0
0,12,16,71633,1,1,0,0,11,1
1,13,7,0,0,1,0,1,10.25,0
0,18,16,86601,0,1,0,0,38.45,0
0,13,23,85176,0,1,0,1,53.13,0
0,16,20,0,1,0,0,0,19.3,1
0,16,3,0,0,1,0,1,43,0
0,13,9,17000,0,1,0,1,15,0
0,5,36,24235,1,1,0,0,10,1
1,14,31,32000,1,1,0,1,15.88,0
0,14,27,16749,1,1,0,0,24,1
0,16,37,40000,0,1,0,0,48.08,0
0,20,16,251350,1,1,0,0,57.7,1
0,13,29,78246,0,0,1,0,22.5,0
0,13,2,0,1,0,0,1,7.25,0
0,16,6,52300,1,1,0,1,23.73,0
0,12,9,0,1,0,1,0,17.88,0
0,16,6,95000,0,1,0,1,19.22,0
0,16,32,0,0,0,0,0,18,1
0,12,39,57782,1,1,0,1,15,0
0,16,41,0,1,1,0,1,41.77,0
0,16,2,25000,1,0,1,0,22.22,0
0,16,2,0,1,1,0,0,11.75,1
0,16,34,50010,1,1,0,1,19.23,0
1,8,52,0,0,1,0,0,13.93,0
0,16,45,44736,0,0,0,0,22,0
1,13,24,57115,1,1,1,0,11,0
0,16,19,40000,0,1,0,1,48.08,0
0,13,25,90000,1,1,1,0,24.35,0
0,16,28,0,1,1,1,0,23.66,0
0,13,5,86043,0,1,1,0,12.92,0
0,13,8,22015,0,1,0,1,15.72,0
0,12,14,2400,0,1,0,0,12.95,1
0,12,3,58000,0,0,0,1,11,0
0,9,21,0,0,1,0,1,7.5,0
0,12,4,16000,0,1,1,0,12.5,0
0,11,12,52684,0,1,0,1,10,0
0,12,32,0,1,0,0,0,12.75,1
0,12,35,15000,0,0,0,1,21.56,0
0,18,32,590,0,1,0,0,64.11,0
0,12,27,0,1,1,0,0,30,1
1,12,23,52000,0,1,0,0,20,1
0,18,12,55200,1,1,0,1,50.47,0
0,16,6,50001,1,1,1,0,24.05,0
0,14,18,0,1,1,0,1,16.75,0
0,16,17,50100,1,1,0,1,24.05,0
0,16,14,0,1,1,0,1,18.75,0
0,3,62,1000,0,1,0,0,16.46,1
0,18,44,36800,0,1,0,1,9.5,0
0,12,32,44860,0,0,1,0,12,0
0,13,18,36000,0,0,1,0,20,0
0,13,11,0,0,0,1,0,14.75,0
0,14,40,29963,1,1,1,0,16.89,0
0,14,32,41500,1,1,0,1,12,0
0,12,38,46028,0,0,0,1,16.5,0
0,16,20,0,0,1,1,0,15.5,0
0,16,11,35600,1,0,1,0,20,0
0,14,26,5000,1,1,0,0,10,0
0,18,8,518,0,1,0,0,32.92,0
0,3,26,31000,0,1,1,0,9,0
0,13,5,56400,1,1,0,0,12.5,1
0,12,14,0,0,1,1,0,12,0
1,12,20,27800,0,1,1,0,9.85,0
0,13,19,27350,1,1,0,0,13,0
0,14,30,107800,1,0,0,1,9.35,0
0,16,39,37745,1,1,0,1,27,0
0,14,36,9899,1,1,0,1,12.5,0
0,5,19,62500,0,1,0,0,14,1
0,18,10,0,0,1,0,0,10,1
0,12,27,0,0,1,0,0,30,0
0,12,35,31225,1,0,0,1,16.5,0
0,12,38,34001,0,0,0,1,28.85,0
0,13,6,89323,1,1,0,1,45,0
0,5,51,44000,0,1,0,0,16,1
0,18,19,0,1,1,0,1,46.58,0
0,12,27,62000,0,1,0,1,23.55,0
0,18,20,115865,1,1,0,0,45.33,1
0,16,19,8330,0,1,0,0,23.07,1
0,10,25,18500,0,1,0,0,18,0
0,16,9,0,0,1,0,1,12.12,0
0,14,32,0,0,1,0,1,14,0
0,5,28,0,0,1,0,1,9,0
0,16,7,0,1,1,0,0,14.69,1
0,13,2,0,0,1,1,0,13.89,0
0,13,43,0,1,1,0,1,14,0
0,16,21,0,1,1,1,0,40,0
0,20,9,44200,0,1,1,0,38.45,0
0,13,31,71510,0,1,0,0,15,1
0,18,38,0,1,1,1,0,28.85,0
0,21,14,150301,1,0,0,0,72.13,0
0,16,40,0,1,1,0,0,24.05,1
0,16,37,28550,0,0,1,0,53.84,0
0,20,15,10302,0,1,0,0,40.85,0
0,16,23,1000,0,1,0,0,52.45,0
0,16,6,0,0,1,0,1,31.25,0
0,12,44,19199,1,1,1,0,17.3,0
0,12,4,0,0,1,0,0,10,1
0,18,16,47511,0,0,1,0,32.05,0
0,16,38,54800,0,1,0,1,16.25,0
0,12,38,42541,0,1,1,0,18.22,0
0,16,39,0,1,1,0,0,51.29,1
1,18,16,53520,1,1,0,1,29.75,0
0,11,13,110000,1,1,0,1,9.1,0
0,14,30,84810,1,0,0,0,17,0
0,14,42,79475,0,1,0,0,30.65,0
0,12,17,18000,0,1,1,0,10,0
0,12,22,40507,0,1,1,0,34.49,0
0,13,44,70660,1,1,1,0,12.6,0
0,12,42,0,1,1,0,0,12.5,1
0,14,35,49200,0,1,0,1,13,0
0,16,3,0,1,1,0,0,54.94,1
1,12,5,12019,0,1,0,1,9,0
0,14,35,2621,0,0,1,0,29.8,0
0,16,34,4800,0,1,0,0,41.67,1
0,16,14,8916,1,1,0,1,26.42,0
0,16,1,0,1,1,1,0,23.08,0
0,9,29,0,1,1,0,1,17.5,0
0,18,14,108048,0,1,0,1,55.56,0
0,12,25,36600,1,0,1,0,15,0
0,14,1,101442,0,1,0,0,10.5,0
0,13,49,0,0,1,0,0,18.45,1
0,18,34,19673,0,1,0,0,72.13,1
0,12,35,54196,1,1,1,0,15,0
0,16,30,67200,1,1,0,0,40,1
1,16,26,80000,1,1,0,1,64.9,0
0,13,24,28000,0,1,0,0,18,0
0,12,30,10392,0,0,0,1,13.5,0
0,13,47,0,0,1,0,0,10,1
0,18,46,55007,0,1,0,0,31.25,1
0,13,18,43230,0,1,0,1,14.67,0
0,20,33,300,0,0,0,1,24.05,0
0,18,14,25,0,1,1,0,29.73,0
0,12,17,33998,0,1,0,1,14,0
0,13,11,0,0,1,0,0,18.25,0
0,20,16,0,0,1,0,0,48.08,1
0,20,7,57000,1,1,0,0,26,0
0,16,26,81787,1,1,1,0,33,0
0,14,34,0,0,1,1,0,22.2,0
0,21,24,22199,0,1,0,0,64.11,0
0,18,7,185760,1,1,0,0,48.08,0
0,16,25,73643,1,1,1,0,25.48,0
0,12,47,40802,0,0,1,0,24.57,0
0,16,0,210500,0,1,0,0,14,0
0,14,11,0,0,1,0,0,15.58,1
0,16,21,0,0,1,0,1,34,0
0,12,43,30100,0,0,0,0,16.5,0
0,16,11,50010,0,1,1,0,72.13,0
0,16,28,25419,1,1,1,0,10.25,0
0,14,3,40599,0,0,1,0,10,0
0,13,1,81144,0,1,1,0,8,0
0,16,34,37000,0,1,1,0,17.5,0
0,16,22,0,0,1,0,1,17.5,0
0,16,1,162820,0,1,0,1,20.17,0
0,13,2,31594,1,1,0,1,9,0
0,18,30,115584,0,0,0,0,15.38,0
0,18,38,0,1,1,1,0,50,0
0,13,33,50025,1,0,0,0,25,0
0,18,30,69205,1,1,1,0,23.86,0
0,13,28,8399,0,1,0,0,21.75,0
0,12,16,8640,0,1,0,0,18,0
0,16,32,60321,1,1,1,0,57.7,0
0,12,16,42313,0,1,1,0,44.76,0
0,13,5,0,0,1,1,0,15,0
0,10,43,21515,1,1,0,0,13,0
0,12,21,48000,0,1,0,0,21,1
0,13,26,45202,0,1,0,1,11.5,0
0,13,19,0,0,0,0,1,19.55,0
0,18,8,20009,1,1,0,1,37.5,0
0,12,6,11972,0,1,0,0,10,1
0,5,27,27000,1,1,0,0,10,1
0,16,10,0,1,1,0,1,12.02,0
0,12,5,18580,0,1,0,1,33.65,0
0,12,34,100000,0,1,0,1,26,0
1,13,15,0,1,1,0,1,13,0
0,16,25,0,0,1,0,0,29,1
0,16,32,94315,1,1,0,0,54.66,0
0,12,37,20084,0,1,0,1,14,0
0,18,42,191818,0,1,1,0,62.5,0
0,16,9,31200,0,1,1,0,42,0
0,10,46,0,0,1,1,0,9,0
0,14,36,76426,1,1,1,0,45.01,0
0,12,6,0,1,1,0,1,9.4,0
0,13,32,45600,1,1,0,1,11.22,0
0,16,6,30000,1,1,0,1,6.63,0
0,18,9,35500,1,1,1,0,40,0
0,5,35,32000,0,1,0,0,9,1
0,14,41,45000,0,0,0,0,14.96,1
1,14,8,66000,1,1,0,1,31.25,0
0,16,37,125943,0,1,0,0,35.38,1
0,16,23,54500,0,1,0,1,29.8,0
0,12,26,20000,0,1,0,1,23,0
1,13,18,0,1,1,0,1,19,0
0,18,31,24200,0,1,0,0,49.05,0
0,12,35,0,0,1,0,1,23,0
0,16,22,67059,1,1,0,1,13.8,0
0,16,11,0,1,1,0,0,20.83,1
0,18,14,66848,1,1,0,0,29.83,1
0,16,38,59426,1,1,0,0,37.5,1
0,16,30,91025,1,1,0,0,39.7,1
0,21,32,40050,0,1,0,1,24.05,0
0,16,12,40000,0,1,0,0,24.05,0
0,21,30,52400,1,0,0,1,30.3,0
0,16,0,142200,1,1,0,0,20,1
0,18,18,80050,1,1,0,0,43.28,0
0,12,26,24936,1,1,1,0,15.3,0
0,13,34,149313,1,1,0,0,16,1
0,12,20,35000,1,1,0,0,14.92,1
0,13,21,0,0,1,1,0,15.25,0
0,13,39,5500,0,1,1,0,21.15,0
0,16,22,25000,0,1,1,0,50,0
0,13,38,40000,0,1,0,1,14.6,0
0,16,25,0,1,1,0,1,39.45,0
1,16,14,0,1,1,0,1,52.41,0
0,12,34,6500,0,1,1,0,23,0
0,16,13,50002,1,1,0,0,35.58,1
0,20,5,88545,1,1,0,1,29.48,0
0,3,39,0,0,1,0,0,8,1
0,12,1,96016,0,1,1,0,8.75,0
0,13,23,3000,1,1,0,1,12,0
0,13,39,50002,1,1,0,1,22.76,0
0,16,10,0,0,1,0,1,17,0
0,10,6,0,0,1,0,1,9,0
0,12,36,56297,0,1,1,0,30.62,0
0,16,33,41899,0,1,0,0,27.7,0
1,16,11,37000,1,1,0,1,9.8,0
0,14,40,59500,1,1,1,0,19.23,0
0,18,22,48576,0,1,0,0,33.65,0
0,14,4,0,0,0,1,0,10,0
0,14,56,40000,0,0,1,0,18,0
0,16,3,125252,1,1,0,1,29.33,0
0,5,23,15000,0,0,0,0,12,1
1,12,20,0,1,1,0,1,10.75,0
0,18,36,17500,0,1,0,0,72.13,1
0,14,13,43650,0,0,0,0,31.5,1
0,12,48,0,0,0,1,0,14,0
0,13,26,0,0,1,1,0,13.98,0
0,16,14,50000,0,1,1,0,24.05,0
0,18,8,0,0,1,0,0,57.7,1
0,21,35,81228,0,1,0,0,52.88,1
